key,en,de
GAME_TITLE,Buried Truths,"Friedhofs-
Gaertner"
INTRO_DETECTIVE_MISSING_GARDENER,You are a police detective called to a cemetery because of a missing gardener. Examine the clues and try to find out what happened to him.,"Du arbeitest bei der Polizei und wurdest zu einem Friedhof gerufen wird, weil ein Gärtner vermisst wird. Untersuche die Hinweise und versuche herauszufinden, was mit ihm passiert ist."
MISSING,Missing,Vermisst
BORIS_AMBURGER_CEMETERY_GARDENER_MISSING_INFO,"Name: Boris Amburger
Occupation: Cemetery Gardener
Date of birth: 03.04.1951
Place of birth: Muldau, Germany
Missing since: 16.01.2003","Name: Boris Amburger
Beruf: Friedhofsgärtner
Geburtsdatum: 03.04.1951
Geburtsort: Muldau, Deutschland
Vermisst seit: 16.01.2003"
CONTINUE,Continue,Weiter
ARRIVAL_SOLKWITZ_CEMETERY,"22.01.2003

After a 3-hour drive, you have finally arrived. Solkwitz, a village of 1000 people in the countryside and part of your police district. Boris Amburger, 51 years old, employed as a cemetery gardener in Solkwitz for 3 years, disappeared a few days ago. This was reported by an employee of the cemetery administration after he failed to show up for work. You look at the shop windows in the village center. A bakery advertises coffee for 1.50€ and sandwiches for 35 cents. At a fork in the road, you turn right and shortly afterwards the cemetery is in front of you. Tall oak trees are generously scattered between gravestones and paths. You park your car in the parking lot in front of the entrance.","22.01.2003

Nach 3 Stunden Fahrt bist du endlich angekommen. Solkwitz, ein 1000 Seelen Dorf auf dem Land und Teil deines Polizeibezirks. Boris Amburger, 49 Jahre, seit 3 Jahren als Friedhofsgärtner in Solkwitz angestellt, war vor einigen Tagen verschwunden. Das hatte ein Mitarbeiter der Kirchhofsverwaltung gemeldet, nachdem der Besagte nicht zur Arbeit erschienen war. Du schaust dir die Schaufenster des Dorfkerns an. Eine Bäckerei wirbt mit Kaffee für 1.50 und Schrippen für 35 Cent. An einer Straßengabelung biegst du nach rechts ab und kurz darauf liegt der Friedhof vor dir. Hohe Eichen stehen großzügig verteilt zwischen Grabsteinen und Wegen. Du parkst deinen Wagen auf dem Parkplatz vor dem Eingang."
FOUNTAIN,Fountain,Brunnen
POLICE_CAR,Police car,Polizeiwagen
PARKING_LOT,Parking lot,Parkplatz
SOFA,Sofa,Sofa
